task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
183	4a/9a57bf	301835	get_depth (42)	COMPLETED	0	2025-12-25 12:05:52.647	1.3s	1s	96.4%	1.5 MB	7.1 MB	5.3 MB	1.4 KB
23	89/fe0a4e	301877	get_depth (6)	COMPLETED	0	2025-12-25 12:05:52.657	1.4s	1s	98.1%	1.7 MB	7.1 MB	6.2 MB	1.4 KB
297	c6/c61154	301765	call_snvs2 (51)	COMPLETED	0	2025-12-25 12:05:52.618	3.4s	2s	620.2%	1.1 MB	7.9 MB	4.1 MB	307.5 KB
190	d0/c04f20	301750	call_sv_del (41)	COMPLETED	0	2025-12-25 12:05:52.607	8.3s	3s	95.1%	32.8 MB	44.3 MB	4.5 MB	14.4 KB
123	f0/8abe4e	301754	call_sv_dup (30)	COMPLETED	0	2025-12-25 12:05:52.613	8.3s	3s	95.9%	33.3 MB	44.6 MB	5.1 MB	15.7 KB
19	69/d72a61	301799	call_snvs2 (5)	COMPLETED	0	2025-12-25 12:05:52.635	8.3s	2s	530.5%	20.4 MB	1.7 GB	3.9 MB	323.6 KB
104	3d/176321	301810	call_sv_dup (23)	COMPLETED	0	2025-12-25 12:05:52.639	8.3s	3s	95.7%	33.5 MB	44.8 MB	4.3 MB	15.8 KB
58	2e/aa40cc	301857	call_snvs1 (12)	COMPLETED	0	2025-12-25 12:05:52.652	8.3s	2s	513.9%	20.8 MB	1.7 GB	4.2 MB	334.5 KB
95	b7/2c4eac	301906	call_snvs1 (17)	COMPLETED	0	2025-12-25 12:05:52.663	8.3s	2s	519.9%	20.3 MB	1.7 GB	4.2 MB	329.8 KB
46	43/76888f	306915	get_depth (12)	COMPLETED	0	2025-12-25 12:05:53.958	7s	0ms	95.8%	1.7 MB	7.1 MB	5.6 MB	1.4 KB
39	5a/f5646a	301744	call_sv_del (9)	COMPLETED	0	2025-12-25 12:05:52.598	9.8s	3s	95.4%	33.4 MB	45.5 MB	4.8 MB	14.5 KB
293	e8/b5ca12	307494	get_depth (62)	COMPLETED	0	2025-12-25 12:05:54.118	8.2s	0ms	82.1%	1.5 MB	7.1 MB	4.9 MB	1.4 KB
351	0a/837685	309269	analyse_1 (NA18540.wgs)	COMPLETED	0	2025-12-25 12:06:00.992	2.7s	0ms	54.7%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
352	45/91c0f8	310887	analyse_1 (NA20296.wgs)	COMPLETED	0	2025-12-25 12:06:02.400	1.3s	0ms	95.2%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
198	63/7009e6	308975	call_snvs2 (32)	COMPLETED	0	2025-12-25 12:05:56.081	7.7s	1s	379.4%	20.3 MB	1.7 GB	4.1 MB	299.2 KB
77	73/b08bd3	309247	get_depth (21)	COMPLETED	0	2025-12-25 12:06:00.985	4.9s	0ms	104.3%	1.7 MB	7.1 MB	4.8 MB	1.4 KB
212	ba/c39aaa	310872	get_depth (48)	COMPLETED	0	2025-12-25 12:06:02.390	3.5s	1s	104.0%	1.7 MB	7.1 MB	5.5 MB	1.4 KB
191	42/8818c7	309166	call_sv_del (42)	COMPLETED	0	2025-12-25 12:06:00.916	6.4s	3s	101.0%	33.5 MB	45.3 MB	4.7 MB	14.5 KB
264	d7/d9b7ca	309181	call_sv_dup (59)	COMPLETED	0	2025-12-25 12:06:00.942	6.4s	3s	100.2%	33.7 MB	45.3 MB	4.6 MB	15.7 KB
138	ba/92c5a2	309195	call_snvs2 (24)	COMPLETED	0	2025-12-25 12:06:00.961	6.3s	1s	628.5%	20.2 MB	1.7 GB	4 MB	330.8 KB
132	f8/768437	309203	call_sv_dup (32)	COMPLETED	0	2025-12-25 12:06:00.967	6.3s	3s	100.5%	33.6 MB	44.9 MB	4.5 MB	15.8 KB
74	45/bd46d6	309218	call_snvs1 (14)	COMPLETED	0	2025-12-25 12:06:00.973	6.3s	1s	586.5%	19.6 MB	1.7 GB	3.8 MB	316.3 KB
337	d4/087473	309229	call_snvs1 (63)	COMPLETED	0	2025-12-25 12:06:00.978	6.4s	1s	598.0%	20.7 MB	1.7 GB	4.2 MB	325.7 KB
15	4d/6c700d	310834	call_sv_del (4)	COMPLETED	0	2025-12-25 12:06:02.382	5s	3s	99.9%	32.7 MB	44.5 MB	4 MB	14.5 KB
113	0c/7551bf	315374	call_snvs2 (18)	COMPLETED	0	2025-12-25 12:06:03.801	5s	1s	517.7%	1.2 MB	8 MB	4.1 MB	301 KB
283	8e/282944	316587	get_depth (61)	COMPLETED	0	2025-12-25 12:06:05.896	3s	0ms	90.8%	1.5 MB	7.1 MB	6.1 MB	1.4 KB
103	01/a08b33	316595	get_depth (26)	COMPLETED	0	2025-12-25 12:06:05.912	3s	0ms	78.9%	1.5 MB	7.1 MB	5.1 MB	1.4 KB
229	36/27597d	317826	call_snvs2 (37)	COMPLETED	0	2025-12-25 12:06:07.348	2.9s	1s	429.1%	19.7 MB	1.7 GB	3.8 MB	310.6 KB
353	5f/2517df	318166	analyse_1 (NA19213.wgs)	COMPLETED	0	2025-12-25 12:06:07.417	2.9s	1s	41.1%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
354	ff/7eac2d	318202	analyse_1 (NA19176.wgs)	COMPLETED	0	2025-12-25 12:06:07.423	2.9s	1s	38.5%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
137	c6/3058d7	317976	call_snvs1 (20)	COMPLETED	0	2025-12-25 12:06:07.389	4.1s	2s	580.6%	21 MB	1.7 GB	4.3 MB	351.1 KB
260	ea/c50a9a	318018	call_snvs1 (43)	COMPLETED	0	2025-12-25 12:06:07.395	4.1s	2s	514.0%	19.7 MB	1.7 GB	3.8 MB	329.5 KB
213	de/5ff898	319961	call_snvs2 (34)	COMPLETED	0	2025-12-25 12:06:08.800	2.7s	1s	470.5%	19.9 MB	1.7 GB	4 MB	302.3 KB
115	d5/8d8fb2	317948	call_sv_del (24)	COMPLETED	0	2025-12-25 12:06:07.382	4.2s	3s	101.9%	32.8 MB	44.4 MB	4.7 MB	14.5 KB
324	61/2c877f	320079	get_depth (69)	COMPLETED	0	2025-12-25 12:06:08.930	6.9s	0ms	87.5%	1.5 MB	7.1 MB	5.3 MB	1.4 KB
206	67/4f08bb	320101	get_depth (46)	COMPLETED	0	2025-12-25 12:06:08.936	6.9s	0ms	70.6%	1.5 MB	7.1 MB	6.1 MB	1.4 KB
280	81/23debb	317794	call_sv_del (63)	COMPLETED	0	2025-12-25 12:06:07.314	13.6s	3s	97.0%	33.5 MB	45.1 MB	5 MB	14.5 KB
304	6d/93340f	317875	call_sv_dup (66)	COMPLETED	0	2025-12-25 12:06:07.367	13.5s	3s	99.6%	33.6 MB	44.7 MB	4.5 MB	15.8 KB
200	14/3518b8	317910	call_sv_dup (49)	COMPLETED	0	2025-12-25 12:06:07.375	13.5s	3s	99.6%	33.6 MB	45.1 MB	5.2 MB	15.7 KB
335	df/47c4d6	324008	call_snvs2 (64)	COMPLETED	0	2025-12-25 12:06:10.218	10.7s	1s	433.6%	1.1 MB	8 MB	4 MB	315.4 KB
355	e0/7a0922	326894	analyse_1 (NA18519.wgs)	COMPLETED	0	2025-12-25 12:06:12.569	9.6s	0ms	17.5%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
170	2d/525202	326959	get_depth (39)	COMPLETED	0	2025-12-25 12:06:15.888	6.3s	0ms	105.3%	1.5 MB	7.1 MB	4.6 MB	1.4 KB
356	4e/705066	327195	analyse_1 (NA10854.wgs)	COMPLETED	0	2025-12-25 12:06:20.939	1.3s	0ms	65.3%	1.7 MB	7.4 MB	48.3 KB	1.5 KB
41	e7/76660a	326961	get_depth (9)	COMPLETED	0	2025-12-25 12:06:15.896	9.9s	0ms	110.2%	1.5 MB	7.1 MB	5.7 MB	1.4 KB
224	bd/fdfb7a	327116	call_sv_del (50)	COMPLETED	0	2025-12-25 12:06:20.894	5s	2s	98.9%	32.8 MB	44.8 MB	4.8 MB	14.5 KB
79	e1/33ebb5	327119	call_sv_dup (15)	COMPLETED	0	2025-12-25 12:06:20.903	5s	2s	100.7%	34.2 MB	45.5 MB	4.8 MB	15.7 KB
37	43/724ece	326108	call_snvs1 (9)	COMPLETED	0	2025-12-25 12:06:11.489	19.4s	1s	551.9%	20.8 MB	1.7 GB	4.2 MB	357.2 KB
102	19/b979e2	326126	call_snvs1 (18)	COMPLETED	0	2025-12-25 12:06:11.509	19.4s	1s	551.2%	20.5 MB	1.7 GB	4.1 MB	302.1 KB
217	2f/c5ef62	326138	call_snvs2 (35)	COMPLETED	0	2025-12-25 12:06:11.514	19.4s	1s	600.8%	19.9 MB	1.7 GB	4.1 MB	326.3 KB
270	69/24939a	326431	call_sv_del (60)	COMPLETED	0	2025-12-25 12:06:11.553	19.4s	2s	98.0%	32.1 MB	43.9 MB	3.5 MB	14.4 KB
181	cf/5cd9ec	327170	call_sv_dup (43)	COMPLETED	0	2025-12-25 12:06:20.925	10s	3s	100.9%	33.7 MB	44.9 MB	4.9 MB	15.6 KB
349	f9/441d6d	327180	call_snvs2 (69)	COMPLETED	0	2025-12-25 12:06:20.932	10s	1s	398.9%	1.2 MB	8 MB	4.2 MB	317.8 KB
273	12/dcc5e4	332245	get_depth (60)	COMPLETED	0	2025-12-25 12:06:22.208	13.7s	1s	86.4%	1.5 MB	7.1 MB	4.2 MB	1.4 KB
357	f1/399be1	334064	analyse_1 (HG00276.wgs)	COMPLETED	0	2025-12-25 12:06:25.910	11.3s	0ms	32.2%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
244	b3/b7334e	334025	get_depth (55)	COMPLETED	0	2025-12-25 12:06:25.818	11.4s	0ms	77.2%	1.5 MB	7.1 MB	6.1 MB	1.4 KB
75	8c/04b937	334048	call_sv_del (15)	COMPLETED	0	2025-12-25 12:06:25.895	11.4s	2s	97.2%	33.6 MB	45.5 MB	4.7 MB	14.5 KB
216	a0/99eee8	334054	call_sv_dup (52)	COMPLETED	0	2025-12-25 12:06:25.902	11.4s	2s	95.6%	33.2 MB	44.3 MB	4.7 MB	15.7 KB
358	8b/3a24b9	334461	format_snvs (1)	COMPLETED	0	2025-12-25 12:06:30.954	6.3s	0ms	41.4%	1.5 MB	7.4 MB	169.2 KB	71 KB
359	35/866b4f	334475	analyse_1 (NA18518.wgs)	COMPLETED	0	2025-12-25 12:06:30.958	6.3s	0ms	15.3%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
343	87/aa9060	334417	call_snvs1 (67)	COMPLETED	0	2025-12-25 12:06:30.914	10s	1s	588.1%	2.1 MB	7.9 MB	3.8 MB	294.8 KB
12	79/fe9615	334436	call_snvs2 (3)	COMPLETED	0	2025-12-25 12:06:30.940	14.9s	1s	526.4%	2.2 MB	7.9 MB	3.5 MB	239.4 KB
117	ee/74d991	334448	call_snvs2 (19)	COMPLETED	0	2025-12-25 12:06:30.946	14.9s	1s	543.1%	19.2 MB	1.7 GB	3.7 MB	316.8 KB
307	fe/8edb51	335984	get_depth (65)	COMPLETED	0	2025-12-25 12:06:35.897	10s	0ms	93.3%	1.5 MB	7.1 MB	5.4 MB	1.4 KB
284	da/ccffb6	334420	call_sv_del (65)	COMPLETED	0	2025-12-25 12:06:30.923	15.1s	2s	99.3%	33.5 MB	45.3 MB	5.2 MB	14.4 KB
179	71/9ea062	334426	call_snvs1 (30)	COMPLETED	0	2025-12-25 12:06:30.929	15.1s	1s	505.2%	19.8 MB	1.7 GB	4.2 MB	326.3 KB
110	3f/3c1685	334430	call_sv_dup (26)	COMPLETED	0	2025-12-25 12:06:30.935	15.1s	2s	99.6%	33.6 MB	45 MB	4.2 MB	15.8 KB
362	0f/92cf45	341539	save_vcfs (NA07055.wgs)	COMPLETED	0	2025-12-25 12:06:38.297	8.5s	0ms	121.8%	0	0	47.2 KB	8.3 KB
360	eb/64a712	340827	analyse_1 (NA19095.wgs)	COMPLETED	0	2025-12-25 12:06:37.275	9.8s	0ms	32.1%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
361	b2/fe3969	341541	get_core_var (NA07055.wgs)	COMPLETED	0	2025-12-25 12:06:38.305	8.9s	0ms	23.2%	1.5 MB	7.4 MB	107.7 KB	50.7 KB
196	00/d691d8	340796	get_depth (43)	COMPLETED	0	2025-12-25 12:06:37.263	10.9s	0ms	105.1%	1.5 MB	7.1 MB	5.7 MB	1.4 KB
20	e1/3f6bfd	342196	get_depth (5)	COMPLETED	0	2025-12-25 12:06:45.902	2.3s	0ms	107.0%	1.7 MB	7.1 MB	4.8 MB	1.4 KB
363	ac/f93e8a	342764	analyse_1 (NA19178.wgs)	COMPLETED	0	2025-12-25 12:06:46.034	4.9s	0ms	42.5%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
252	ea/4474d7	342188	call_snvs2 (43)	COMPLETED	0	2025-12-25 12:06:45.888	5.1s	1s	501.2%	1.6 MB	8 MB	3.8 MB	328.3 KB
97	62/39a5ab	342190	call_snvs2 (15)	COMPLETED	0	2025-12-25 12:06:45.895	5.1s	1s	502.2%	21.1 MB	1.7 GB	4.2 MB	342.4 KB
24	7c/d54e0c	340798	call_sv_del (6)	COMPLETED	0	2025-12-25 12:06:37.267	18.6s	2s	100.0%	32.8 MB	44.5 MB	5 MB	14.5 KB
153	88/a72771	340800	call_sv_dup (37)	COMPLETED	0	2025-12-25 12:06:37.271	18.6s	2s	100.3%	33.8 MB	45.1 MB	5 MB	15.7 KB
151	a0/1a0574	342101	call_snvs1 (23)	COMPLETED	0	2025-12-25 12:06:40.889	15s	1s	501.4%	20.2 MB	1.7 GB	3.9 MB	285.4 KB
209	96/ffabd9	342519	call_sv_del (47)	COMPLETED	0	2025-12-25 12:06:46.011	9.9s	3s	97.4%	32.8 MB	44.6 MB	4.3 MB	14.5 KB
40	ad/362e1f	342571	call_sv_dup (7)	COMPLETED	0	2025-12-25 12:06:46.018	9.9s	4s	95.0%	35.9 MB	1.7 GB	4.7 MB	15.7 KB
142	91/09ecb5	342647	call_snvs1 (21)	COMPLETED	0	2025-12-25 12:06:46.025	9.9s	2s	351.0%	1.1 MB	7.9 MB	3.9 MB	290.4 KB
364	d0/a911d2	348418	analyse_3 (NA07055.wgs)	COMPLETED	0	2025-12-25 12:06:48.235	9.2s	0ms	42.7%	1.5 MB	7.4 MB	63.9 KB	1.5 KB
243	80/23b0e1	348409	get_depth (54)	COMPLETED	0	2025-12-25 12:06:48.220	9.3s	0ms	85.7%	1.5 MB	7.1 MB	5.5 MB	1.4 KB
50	a4/ee403e	348411	get_depth (13)	COMPLETED	0	2025-12-25 12:06:48.229	9.3s	0ms	78.6%	1.5 MB	7.1 MB	5.2 MB	1.4 KB
365	0e/968f4a	349631	format_snvs (2)	COMPLETED	0	2025-12-25 12:06:51.013	6.5s	0ms	34.8%	1.5 MB	7.4 MB	165.7 KB	68.7 KB
188	5d/bd3eb7	349625	call_snvs2 (30)	COMPLETED	0	2025-12-25 12:06:51.005	7.6s	1s	479.0%	19.8 MB	1.7 GB	4.2 MB	325.1 KB
239	6d/d62f64	349623	call_snvs2 (39)	COMPLETED	0	2025-12-25 12:06:50.998	7.7s	1s	441.5%	19.2 MB	1.7 GB	3.5 MB	301.8 KB
367	f6/dd9220	350220	analyse_1 (NA18564.wgs)	COMPLETED	0	2025-12-25 12:06:55.981	2.7s	0ms	34.6%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
366	65/8d3e67	350207	analyse_1 (NA18484.wgs)	COMPLETED	0	2025-12-25 12:06:55.976	4.9s	0ms	32.1%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
274	e0/6f37df	350167	call_sv_del (62)	COMPLETED	0	2025-12-25 12:06:55.949	6.6s	2s	98.4%	32.8 MB	44.7 MB	4.3 MB	14.5 KB
315	87/d573a6	350171	call_sv_dup (69)	COMPLETED	0	2025-12-25 12:06:55.955	6.6s	3s	99.3%	33.6 MB	44.7 MB	5 MB	15.7 KB
83	6b/7afc81	350175	call_sv_dup (17)	COMPLETED	0	2025-12-25 12:06:55.960	6.6s	3s	99.4%	33.6 MB	44.8 MB	4.9 MB	15.7 KB
248	a9/f52666	350184	call_snvs1 (41)	COMPLETED	0	2025-12-25 12:06:55.966	6.6s	1s	546.4%	1.2 MB	8 MB	4 MB	297.5 KB
346	8c/ffd0a0	350198	call_snvs1 (69)	COMPLETED	0	2025-12-25 12:06:55.971	6.6s	1s	491.8%	1.1 MB	7.9 MB	4.2 MB	318.5 KB
1	d5/a304d8	353078	get_depth (1)	COMPLETED	0	2025-12-25 12:06:57.566	5s	1s	82.4%	1.7 MB	7.1 MB	5 MB	1.4 KB
98	4e/a76732	353088	get_depth (25)	COMPLETED	0	2025-12-25 12:06:57.574	5s	1s	81.7%	1.5 MB	7.1 MB	5.5 MB	1.4 KB
369	ee/d35f26	353108	save_vcfs (NA11993.wgs)	COMPLETED	0	2025-12-25 12:06:57.581	5s	0ms	125.1%	0	0	46.8 KB	7.6 KB
368	14/2e3580	353121	get_core_var (NA11993.wgs)	COMPLETED	0	2025-12-25 12:06:57.588	5.2s	1s	28.6%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
370	71/d796fa	355999	format_snvs (3)	COMPLETED	0	2025-12-25 12:06:58.609	4.1s	0ms	39.0%	1.5 MB	7.4 MB	166.7 KB	68.9 KB
218	9e/872f2a	350156	call_sv_del (49)	COMPLETED	0	2025-12-25 12:06:55.917	6.8s	3s	99.4%	33.1 MB	45.1 MB	5.2 MB	14.5 KB
295	c2/39db70	356243	call_snvs2 (50)	COMPLETED	0	2025-12-25 12:06:58.697	5.4s	1s	534.0%	20.2 MB	1.7 GB	3.9 MB	281.2 KB
220	50/94d828	360616	get_depth (50)	COMPLETED	0	2025-12-25 12:07:02.777	1.4s	0ms	105.3%	1.7 MB	7.1 MB	5 MB	1.4 KB
122	13/794281	355997	call_snvs2 (20)	COMPLETED	0	2025-12-25 12:06:58.604	5.7s	1s	487.7%	20.9 MB	1.7 GB	4.3 MB	349.9 KB
60	9e/1fdb2d	360599	get_depth (16)	COMPLETED	0	2025-12-25 12:07:02.772	2.9s	0ms	90.5%	1.7 MB	7.1 MB	5.7 MB	1.4 KB
36	10/dab965	360576	call_snvs1 (8)	COMPLETED	0	2025-12-25 12:07:02.761	3s	1s	455.1%	1.2 MB	8 MB	4 MB	284.8 KB
25	93/d481c1	360563	call_snvs1 (5)	COMPLETED	0	2025-12-25 12:07:02.755	3.1s	1s	444.7%	20.5 MB	1.7 GB	3.9 MB	323.8 KB
373	b6/4df2a0	361114	analyse_3 (NA11993.wgs)	COMPLETED	0	2025-12-25 12:07:02.933	3s	0ms	38.1%	1.5 MB	7.4 MB	62.3 KB	1.4 KB
375	57/e8f4b8	361120	save_vcfs (NA21781.wgs)	COMPLETED	0	2025-12-25 12:07:02.937	3s	0ms	101.1%	0	0	46.8 KB	7.6 KB
374	33/8f46ac	361093	analyse_2 (NA11993.wgs)	COMPLETED	0	2025-12-25 12:07:02.927	3.1s	0ms	50.1%	1.5 MB	7.4 MB	55.6 KB	1.3 KB
371	5b/17e1a5	361077	analyse_1 (NA18565.wgs)	COMPLETED	0	2025-12-25 12:07:02.916	4.6s	0ms	17.2%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
372	e5/887658	361079	format_snvs (4)	COMPLETED	0	2025-12-25 12:07:02.919	4.6s	0ms	42.7%	1.5 MB	7.4 MB	168.3 KB	69.3 KB
377	4c/fb441c	361130	analyse_1 (NA12006.wgs)	COMPLETED	0	2025-12-25 12:07:02.940	4.7s	0ms	16.4%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
376	88/2889ac	361146	get_core_var (NA21781.wgs)	COMPLETED	0	2025-12-25 12:07:02.944	4.8s	0ms	29.2%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
71	9e/9364f0	360145	call_sv_dup (14)	COMPLETED	0	2025-12-25 12:07:02.598	5.2s	3s	99.8%	33.4 MB	44.6 MB	4.9 MB	15.7 KB
249	84/5b2252	360559	call_sv_dup (57)	COMPLETED	0	2025-12-25 12:07:02.745	5.1s	2s	97.3%	33.6 MB	44.7 MB	4.9 MB	15.7 KB
70	4d/4e0b51	360586	call_sv_del (14)	COMPLETED	0	2025-12-25 12:07:02.767	5.1s	2s	100.2%	33 MB	44.7 MB	4.9 MB	14.5 KB
161	66/b8e109	360135	call_sv_del (34)	COMPLETED	0	2025-12-25 12:07:02.574	6.2s	3s	100.6%	33.2 MB	45.2 MB	4.6 MB	14.4 KB
182	1e/a7002b	364596	call_snvs2 (29)	COMPLETED	0	2025-12-25 12:07:04.285	6.6s	1s	538.3%	1.2 MB	8 MB	3.9 MB	285.3 KB
378	0d/0f480b	364640	format_snvs (5)	COMPLETED	0	2025-12-25 12:07:04.295	6.6s	0ms	38.1%	1.5 MB	7.4 MB	166.2 KB	68.8 KB
231	91/f51768	366301	get_depth (53)	COMPLETED	0	2025-12-25 12:07:05.722	5.2s	1s	101.4%	1.7 MB	7.1 MB	5.9 MB	1.4 KB
80	e5/5744a3	364434	call_snvs2 (14)	COMPLETED	0	2025-12-25 12:07:04.216	6.8s	1s	453.0%	19.6 MB	1.7 GB	3.8 MB	316.5 KB
319	82/6c635e	364459	get_depth (67)	COMPLETED	0	2025-12-25 12:07:04.224	6.8s	0ms	103.5%	1.5 MB	7.1 MB	5 MB	1.4 KB
384	27/cda5a4	370069	analyse_1 (NA10847.wgs)	COMPLETED	0	2025-12-25 12:07:07.871	8s	0ms	34.7%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
269	4b/d1e103	366312	call_snvs1 (46)	COMPLETED	0	2025-12-25 12:07:05.729	10.2s	1s	568.4%	18.6 MB	1.7 GB	4.1 MB	326.3 KB
146	cc/bfd9c6	366650	call_snvs1 (22)	COMPLETED	0	2025-12-25 12:07:05.944	10s	1s	573.3%	1.6 MB	7.9 MB	3.8 MB	283.6 KB
379	c9/544942	368868	format_snvs (6)	COMPLETED	0	2025-12-25 12:07:07.569	8.3s	0ms	34.5%	1.5 MB	7.4 MB	181.8 KB	73.8 KB
381	80/943096	368879	save_vcfs (NA18973.wgs)	COMPLETED	0	2025-12-25 12:07:07.576	8.3s	0ms	162.7%	0	0	46.8 KB	7.6 KB
380	3c/61822d	368889	get_core_var (NA18973.wgs)	COMPLETED	0	2025-12-25 12:07:07.580	8.3s	0ms	24.9%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
382	5e/d1af5b	370052	analyse_3 (NA21781.wgs)	COMPLETED	0	2025-12-25 12:07:07.863	8.1s	0ms	33.3%	1.5 MB	7.4 MB	62.3 KB	1.4 KB
383	57/b9ec4a	370058	analyse_2 (NA21781.wgs)	COMPLETED	0	2025-12-25 12:07:07.867	8.1s	0ms	53.5%	1.5 MB	7.4 MB	55.7 KB	1.3 KB
26	ae/c83595	370020	call_sv_dup (4)	COMPLETED	0	2025-12-25 12:07:07.845	9.5s	2s	97.9%	33.2 MB	44.5 MB	4.1 MB	15.7 KB
63	a9/44d4b7	370038	call_sv_del (13)	COMPLETED	0	2025-12-25 12:07:07.854	9.5s	3s	98.7%	33.4 MB	45.5 MB	4.6 MB	14.5 KB
129	29/282e38	371843	call_sv_del (27)	COMPLETED	0	2025-12-25 12:07:08.831	8.5s	2s	96.7%	33.1 MB	44.9 MB	4.5 MB	14.5 KB
385	a1/0898bd	371864	analyse_1 (NA19003.wgs)	COMPLETED	0	2025-12-25 12:07:08.840	8.5s	0ms	41.2%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
312	3f/52d9f4	369642	call_sv_dup (68)	COMPLETED	0	2025-12-25 12:07:07.835	9.6s	3s	97.2%	33.6 MB	44.8 MB	4.1 MB	15.7 KB
62	ff/1b95c6	373302	get_depth (17)	COMPLETED	0	2025-12-25 12:07:10.898	6.5s	0ms	100.4%	1.5 MB	7.1 MB	5.3 MB	1.4 KB
387	92/1ddec5	373308	save_vcfs (NA12003.wgs)	COMPLETED	0	2025-12-25 12:07:10.905	6.5s	0ms	133.8%	0	0	46.8 KB	7.6 KB
314	da/46b165	373429	get_depth (66)	COMPLETED	0	2025-12-25 12:07:10.984	6.5s	0ms	100.9%	1.5 MB	7.1 MB	5.6 MB	1.4 KB
386	fb/1a8c78	373312	get_core_var (NA12003.wgs)	COMPLETED	0	2025-12-25 12:07:10.911	6.6s	0ms	35.1%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
334	fa/e78187	373300	call_snvs2 (63)	COMPLETED	0	2025-12-25 12:07:10.891	8s	1s	548.0%	20.6 MB	1.7 GB	4.2 MB	325.5 KB
288	33/235afb	373427	call_snvs2 (47)	COMPLETED	0	2025-12-25 12:07:10.979	8s	1s	528.4%	19.4 MB	1.7 GB	3.5 MB	278.2 KB
388	40/8c9689	373437	format_snvs (7)	COMPLETED	0	2025-12-25 12:07:10.988	8s	0ms	32.8%	1.5 MB	7.4 MB	167 KB	69 KB
391	55/b6e48c	375113	analyse_2 (NA18973.wgs)	COMPLETED	0	2025-12-25 12:07:15.952	3.2s	0ms	18.9%	1.5 MB	7.4 MB	55.7 KB	1.4 KB
389	3d/6a1dd6	375087	save_vcfs (NA19174.wgs)	COMPLETED	0	2025-12-25 12:07:15.934	4.9s	0ms	165.5%	0	0	47.2 KB	8.3 KB
392	ff/ee91d1	375106	analyse_3 (NA18973.wgs)	COMPLETED	0	2025-12-25 12:07:15.946	5s	0ms	57.9%	1.5 MB	7.4 MB	62.3 KB	1.4 KB
390	30/3aab58	375096	get_core_var (NA19174.wgs)	COMPLETED	0	2025-12-25 12:07:15.940	9.9s	0ms	31.5%	1.5 MB	7.4 MB	107.7 KB	50.7 KB
189	d1/fa697c	378004	call_sv_dup (45)	COMPLETED	0	2025-12-25 12:07:17.392	9.8s	2s	97.6%	33.7 MB	45 MB	4.4 MB	15.7 KB
29	d2/61550d	378202	call_sv_del (7)	COMPLETED	0	2025-12-25 12:07:17.400	9.8s	3s	97.9%	33.3 MB	45.3 MB	4.6 MB	14.5 KB
394	46/2870de	378233	analyse_1 (NA12813.wgs)	COMPLETED	0	2025-12-25 12:07:17.420	9.7s	0ms	49.7%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
393	d8/c65df6	378240	analyse_1 (NA19147.wgs)	COMPLETED	0	2025-12-25 12:07:17.426	9.7s	0ms	54.5%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
251	fe/1d939f	378288	get_depth (56)	COMPLETED	0	2025-12-25 12:07:17.440	9.9s	0ms	85.2%	1.5 MB	7.1 MB	5.4 MB	1.4 KB
230	61/8f05b0	378310	get_depth (52)	COMPLETED	0	2025-12-25 12:07:17.445	9.9s	0ms	90.7%	1.5 MB	7.1 MB	5 MB	1.4 KB
395	eb/aa4ba4	380700	analyse_3 (NA12003.wgs)	COMPLETED	0	2025-12-25 12:07:18.527	8.8s	0ms	45.4%	1.5 MB	7.4 MB	62.3 KB	1.4 KB
398	bd/e95ad3	381548	save_vcfs (NA10847.wgs)	COMPLETED	0	2025-12-25 12:07:19.153	8.2s	0ms	95.5%	0	0	46.8 KB	7.6 KB
397	02/52958a	381559	get_core_var (NA10847.wgs)	COMPLETED	0	2025-12-25 12:07:19.160	8.2s	0ms	28.4%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
199	5e/8ff9f7	375075	call_snvs1 (33)	COMPLETED	0	2025-12-25 12:07:15.916	11.5s	1s	598.2%	20.1 MB	1.7 GB	4 MB	321.5 KB
268	68/fb5e60	375079	call_snvs1 (45)	COMPLETED	0	2025-12-25 12:07:15.923	11.5s	1s	672.6%	18.9 MB	1.7 GB	4.1 MB	324.5 KB
285	b1/911ea6	378207	call_sv_del (66)	COMPLETED	0	2025-12-25 12:07:17.407	10s	2s	98.6%	33 MB	44.8 MB	4.5 MB	14.5 KB
